	vclaim	title
159	Were 30 Navy SEALs Killed In A March 11 Attack In Afghanistan?	Were 30 Navy SEALs Killed In A March 11 Attack In Afghanistan?
160	Is Dunkin’ Donuts Closing All Locations Over Coronavirus Concerns?	Is Dunkin’ Donuts Closing All Locations Over Coronavirus Concerns?
161	Can Colloidal Silver ‘Kill’ Coronavirus?	Can Colloidal Silver ‘Kill’ Coronavirus?
162	Viral Image Claims Gargling Salt Water Or Vinegar ‘Eliminates’ The Coronavirus	Viral Image Claims Gargling Salt Water Or Vinegar ‘Eliminates’ The Coronavirus
163	Was Obama ‘Furious’ After Being Photographed Carrying ‘The Post-American World’?	Was Obama ‘Furious’ After Being Photographed Carrying ‘The Post-American World’?
164	Did Trump Tweet The President Should Be ‘Shot Into The Sun’ If The Dow Drops More Than 1,000 Points In A Day?	Did Trump Tweet The President Should Be ‘Shot Into The Sun’ If The Dow Drops More Than 1,000 Points In A Day?
165	Did Pennsylvania Governor Tom Wolf Mandate Closures For Schools And Workplaces?	Did Pennsylvania Governor Tom Wolf Mandate Closures For Schools And Workplaces?
166	Did Hillary Clinton Say, ‘If I’m Indicted, I’ll Take Half Of DC With Me’?	Did Hillary Clinton Say, ‘If I’m Indicted, I’ll Take Half Of DC With Me’?
167	Did A Black Woman Drown In The Sinking Of The Titanic Because Lifeboats Were Only Open To White Women And Children?	Did A Black Woman Drown In The Sinking Of The Titanic Because Lifeboats Were Only Open To White Women And Children?
168	Does This Photo Show Tom Hanks Quarantined In Australia With Wilson The Volleyball?	Does This Photo Show Tom Hanks Quarantined In Australia With Wilson The Volleyball?
169	Is Minecraft Shutting Down In December?	Is Minecraft Shutting Down In December?
170	Has The Novel Coronavirus Been Found In Alabama Crawfish?	Has The Novel Coronavirus Been Found In Alabama Crawfish?
171	Does ‘Harry Potter’ Actor Daniel Radcliffe Have The Novel Coronavirus?	Does ‘Harry Potter’ Actor Daniel Radcliffe Have The Novel Coronavirus?
172	Did Trump Call The Coronavirus A ‘Hoax’ At His South Carolina Rally?	Did Trump Call The Coronavirus A ‘Hoax’ At His South Carolina Rally?
173	Did A State Department Employee Recently Plead Guilty To Treason?	Did A State Department Employee Recently Plead Guilty To Treason?
174	Does This Photo Show Obama’s Columbia University ID Listing Him As A ‘Foreign Student’?	Does This Photo Show Obama’s Columbia University ID Listing Him As A ‘Foreign Student’?
175	Do These Photos Show The Conjoined Twins Ben Carson Separated In 1987?	Do These Photos Show The Conjoined Twins Ben Carson Separated In 1987?
176	Did Trump Fly US Soldiers Back From Operation Desert Storm On His Airline?	Did Trump Fly US Soldiers Back From Operation Desert Storm On His Airline?
177	Video Claims To Show Bernie Sanders Making Racist Remarks In Front Of Schoolchildren	Video Claims To Show Bernie Sanders Making Racist Remarks In Front Of Schoolchildren
178	Image Claims Pope Francis Made A Satanic Hand Gesture	Image Claims Pope Francis Made A Satanic Hand Gesture
179	Viral Image Claims Senator James Inhofe Now Serves As The EPA’s Chief Of Staff	Viral Image Claims Senator James Inhofe Now Serves As The EPA’s Chief Of Staff
180	Have 13,506 Marines Volunteered For White House Sentry Duty Since Trump’s Inauguration?	Have 13,506 Marines Volunteered For White House Sentry Duty Since Trump’s Inauguration?
181	Did The Taliban Shoot Down 2 US Aircraft And Kill 34 Soldiers In Afghanistan?	Did The Taliban Shoot Down 2 US Aircraft And Kill 34 Soldiers In Afghanistan?
182	Did Trump Donate His Presidential Salary To Rebuild Military Cemeteries?	Did Trump Donate His Presidential Salary To Rebuild Military Cemeteries?
183	Did Mike Tyson Offer Men $10 Million To Marry His Daughter?	Did Mike Tyson Offer Men $10 Million To Marry His Daughter?
184	Does This Image Show Mattel’s Latest Barbie Wearing A Hijab?	Does This Image Show Mattel’s Latest Barbie Wearing A Hijab?
185	Does This Photo Show Young Bernie Sanders At The Stonewall Riots?	Does This Photo Show Young Bernie Sanders At The Stonewall Riots?
186	Viral Image Claims ICE Agents Will Be At All Polling Stations On Election Day	Viral Image Claims ICE Agents Will Be At All Polling Stations On Election Day
187	Did North Carolina Scientists Create A T. Rex Embryo Using Chicken DNA?	Did North Carolina Scientists Create A T. Rex Embryo Using Chicken DNA?
188	Viral Post Claims A Woman Set A World Record By Having 17 Children In A Single Birth	Viral Post Claims A Woman Set A World Record By Having 17 Children In A Single Birth
189	‘Nobody Should Be Allowed To Photoshop Unflattering Images Of The President’ – Did Trump Tweet This?	‘Nobody Should Be Allowed To Photoshop Unflattering Images Of The President’ – Did Trump Tweet This?
